rank	score	priority	multiplicity	norm	pair0	pair1	pair2	pair3plus	vector
13	35840	6	31	10	844	758	846	174	0 0 0 0 2 -1 -3 0 0 1 0 -1 -1 2 -2 0 -2
14	35812	19	31	10	836	758	850	178	0 0 0 0 1 1 0 -1 1 0 0 0 0 1 -1 -1 -1
15	35720	14	31	10	802	824	816	180	0 2 1 2 3 -2 -6 1 -1 2 0 -4 -2 2 -3 1 -2
16	35596	10	31	10	812	802	818	190	1 1 2 2 2 -3 -6 1 -2 2 0 -3 -2 2 -3 0 -2
17	35542	18	31	10	818	802	810	192	0 0 0 0 1 0 -1 0 0 1 2 -1 -2 0 -2 1 -1
18	35442	17	31	10	828	792	804	198	0 0 1 -1 0 -1 0 1 0 -1 -1 -1 1 1 1 -1 0
19	35432	15	31	10	796	828	798	200	0 0 0 1 0 1 0 -1 0 1 1 1 -2 0 -1 1 0
20	34936	27	30	10	844	756	854	168	1 1 0 0 2 -3 -5 1 -1 0 0 -3 -1 2 -2 -1 -2
21	34846	22	30	10	820	778	848	176	1 -1 1 0 1 0 -1 1 -3 -1 0 -1 1 0 0 0 0
22	34794	23	30	10	806	824	818	174	2 -1 1 1 3 -2 -4 0 -3 0 1 -3 -1 0 -2 0 -2
23	34742	26	30	10	840	746	852	184	1 1 2 1 2 -2 -5 1 -2 0 0 -4 -1 2 -2 -1 -2
24	34724	25	30	10	792	826	822	182	1 0 -1 -1 0 -1 0 -1 0 0 0 1 0 0 0 -1 0
25	34716	31	30	10	794	826	820	182	0 1 0 0 1 -1 -2 -1 0 0 0 -2 0 1 -1 -1 0
26	34706	33	30	10	816	810	816	180	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 -1 -3
27	34674	29	30	10	788	828	820	186	0 0 1 2 2 -2 -5 1 -1 2 1 -3 -2 2 -3 1 -2
28	34656	21	30	10	794	826	816	186	1 -1 -1 -1 1 1 2 -2 1 -1 1 1 0 -2 0 0 0
29	34632	20	30	10	794	824	816	188	1 -1 -1 0 0 1 2 -2 0 -1 1 2 0 -2 0 0 0
30	34594	28	30	10	808	828	800	186	1 1 2 3 5 -6 -11 3 -3 2 -1 -8 -2 5 -4 -1 -4
31	34500	30	30	10	800	830	798	194	1 -1 0 -1 0 -1 0 1 -2 -1 -1 1 2 0 1 -1 0
32	34346	24	30	10	786	860	774	202	1 -1 0 -1 1 1 1 -1 -1 -1 2 0 -1 -1 -1 0 0
33	34226	32	30	10	774	886	754	208	1 1 1 1 2 -4 -6 1 -1 1 -1 -4 -1 3 -3 -1 -2
34	33924	43	29	10	814	800	840	168	1 -2 -1 -3 -2 2 6 -1 0 -2 0 4 2 -2 2 -1 2
35	33904	48	29	10	810	802	840	170	1 0 2 2 3 -2 -5 1 -3 1 1 -4 -2 0 -3 1 -2
36	33770	39	29	10	794	818	830	180	2 -1 2 1 2 0 -3 0 -2 0 1 -2 -1 0 -3 0 -2
37	33742	41	29	10	792	830	820	180	0 0 0 0 0 1 0 -2 1 -1 1 0 0 -1 -1 0 0
38	33670	42	29	10	798	826	814	184	0 0 0 1 1 1 0 -2 0 -1 1 -1 0 -1 -1 0 0
39	33604	46	29	10	816	814	806	186	1 1 2 3 4 -6 -10 3 -3 2 -2 -7 -2 5 -4 -1 -4
40	33584	49	29	10	800	832	802	188	1 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 0 -3 1 -2
41	33562	45	29	10	774	874	786	188	1 0 1 2 2 0 -3 1 -1 1 1 -3 -2 0 -2 1 -2
42	33514	51	29	10	768	868	792	194	0 1 0 1 1 -2 -3 1 1 2 0 -2 -2 3 -1 -1 -2
43	33514	52	29	10	768	868	792	194	0 1 0 1 1 -2 -3 1 1 1 -1 -2 -2 3 -1 -1 -2
44	33506	44	29	10	770	868	790	194	1 0 1 2 2 -2 -5 1 -1 2 0 -3 -2 2 -2 1 -2
45	33488	34	29	10	770	864	792	196	0 0 1 0 0 -1 -1 1 -1 -1 -2 -1 1 0 0 0 0
46	33440	54	29	10	758	896	772	196	1 0 1 1 2 -3 -4 2 -1 1 -1 -3 -1 2 -3 -1 -3
47	33408	36	29	10	760	894	770	198	2 -1 0 0 1 0 -1 -1 -2 0 2 0 -1 -1 -2 0 0
48	33384	40	29	10	760	892	770	200	1 0 -1 -1 2 0 -1 -1 0 0 2 -1 -1 0 -1 0 0
49	33298	47	29	10	762	888	766	206	1 1 0 0 2 -3 -4 1 -1 1 -1 -2 -1 3 -2 -1 -2
50	33288	50	29	10	724	962	734	202	1 0 1 2 4 -5 -8 2 -3 1 -1 -5 -1 4 -3 -1 -4
51	33272	53	29	10	740	926	750	206	1 -1 -1 0 0 0 1 -1 0 0 1 1 0 -1 -1 0 -1
52	33236	35	29	10	800	848	766	208	1 0 0 1 2 -1 -3 0 -2 0 0 -2 0 1 -2 0 -2
53	33198	38	29	10	754	912	746	210	0 1 1 1 1 -1 -3 -1 -1 1 0 -1 -1 1 -2 0 0
54	33012	37	29	10	778	902	724	218	2 -1 1 1 3 -2 -5 1 -3 1 2 -3 -1 1 -2 0 -2
55	32584	71	28	10	752	906	778	186	1 1 1 2 3 -4 -7 2 -1 2 -1 -4 -1 3 -3 -1 -4
56	32520	62	28	10	756	902	774	190	0 1 1 1 3 -2 -5 0 -1 1 1 -4 -1 1 -3 0 -2
57	32464	65	28	10	770	882	776	194	2 0 0 0 2 -3 -4 1 -2 1 1 -2 -1 1 -2 -1 -2
58	32448	67	28	10	756	896	774	196	2 0 1 1 3 -3 -6 1 -3 1 1 -3 -1 2 -3 -1 -2
59	32430	83	28	10	762	894	770	196	0 1 0 0 1 -1 -2 0 1 1 1 -2 -1 1 -2 -1 -1
60	32370	60	28	10	792	854	776	200	2 -1 1 0 1 -1 -1 0 -2 0 0 -1 0 0 -1 0 -2
61	32342	58	28	10	748	912	760	202	0 1 1 1 1 -3 -4 1 1 1 -2 -3 -1 3 -2 -2 -2
62	32342	64	28	10	766	888	766	202	2 0 0 0 3 -2 -4 1 -1 1 1 -3 -1 2 -2 -1 -2
63	32334	86	28	10	726	944	750	202	1 0 1 1 2 -3 -5 2 -1 2 -1 -3 -2 3 -3 -1 -3
64	32324	66	28	10	736	944	742	200	1 -2 -1 -3 -3 2 6 -1 1 -2 0 4 2 -2 3 -1 2
65	32312	63	28	10	718	972	732	200	2 -1 1 1 3 -2 -5 0 -3 1 1 -3 -1 1 -3 0 -2
66	32300	84	28	10	724	968	730	200	1 0 1 1 3 -4 -6 1 -2 1 0 -4 -1 2 -3 -1 -3
67	32296	57	28	10	752	912	754	204	2 -1 1 0 2 0 -2 -1 -2 -1 2 -2 -1 -1 -2 0 0
68	32232	79	28	10	726	958	732	206	1 0 0 -1 1 1 0 -1 0 0 1 0 0 -1 -2 0 -1
69	32220	59	28	10	756	912	746	208	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 3 -2 -2 -2
70	32218	75	28	10	752	928	736	206	2 0 2 3 4 -4 -9 2 -4 2 1 -6 -2 2 -4 0 -3
71	32216	61	28	10	724	956	734	208	2 -1 1 0 2 -2 -3 0 -2 1 1 -2 -1 1 -3 0 -2
72	32216	80	28	10	742	922	748	210	0 0 1 0 0 0 -1 1 -1 -1 0 -1 0 0 1 0 1
73	32206	77	28	10	746	920	746	210	0 0 0 1 -2 0 1 1 0 0 -1 1 0 0 2 0 1
74	32182	78	28	10	716	958	736	212	2 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 0 -2 0 -1
75	32180	73	28	10	754	908	748	212	1 1 2 2 3 -4 -7 1 -3 1 -1 -4 -1 3 -3 -1 -2
76	32168	55	28	10	718	960	732	212	1 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 2 -2 0 -2
