id,rank_lower_bound,family,parameter,a1,a2,a3,a4,a6,source_certificate,source_curve_index
new-20260906-40,27,074d9,2818/1535,0,0,0,-1434254277194995172799431087202781675244846491861/3,3216853742735834212829428053814243003487320547835308197954106937159277070/27,fresh_r17_paired_results_v1.json,2
new-20260906-71,27,103b2,3726/881,0,0,0,-9895030694214226323552866859539205819046957275040081/48,954989066308591641010061865335632819629565930947042022971753565174973709040729/864,retention24_r17_results_v1.json,16
new-20260906-41,27,11952,-2448/11,0,0,0,-73638770463368896155658739236788695946790736476801/48,625621344831082622254800326088053838167425185771052959551759466765851226049/864,fresh_r17_paired_results_v1.json,21
new-20260906-188,27,11952,110314/102227,0,0,0,-6634440315053082713858076665029521474096800099757205128651841/48,17489200534451575094205914710925249291204578429094125391978500008717309356824402005463563361/864,full11952_late64_r17_results_v1.json,0
new-20260906-72,27,11952,2012/211,0,0,0,-3059164480456846438008217711127521600609004317681/48,6884880625329953535681750963796674132703993924804026175350213563702528329/864,retention24_r17_results_v1.json,20
new-20260906-48,27,11952,2828/2015,0,0,0,-1577094019174714168434636908186423111110160909791441/48,43344287715587092510783929657389234067655937171190151958331676963514285230489/864,next24_r17_results_v1.json,23
new-20260906-186,27,11952,4286/1881,0,0,0,-205808351007827159081155921661915309861202771064075/16,569670589763244077668828908638489609701342150170831674452885654362001223075/32,full11952_64_r17_results_v1.json,7
new-20260906-90,27,a1-fibration-01,-1867/270,0,0,0,-4229226248998434731759210602087842304406760748297441/48,275191172429167580141925910212827645257429648870004209547284968477929860207825/864,new_mw16_followup_results_v1.json,1
new-20260906-73,26,074d9,1175/1901,0,0,0,-181672659190154469279561920627018245137610774200907/16,469051750222044653813365725759542817995608039109700852172576485127960828547/32,retention24_r17_results_v1.json,2
new-20260906-63,26,074d9,2588/1603,0,0,0,-1174004674486151970359676715501070920995206469481/48,1213085799505991279110609419286604081207852394493789700095510461905053621/864,discarded12_r17_results_v1.json,0
new-20260906-42,26,074d9,808/2259,0,0,0,-1585031051695091937747739253188611009079447837130641/48,61496236315342289631268449514624434329872857537085722596781789471007164325561/864,fresh_r17_paired_results_v1.json,3
new-20260905-37,26,07ca9,-2507/3068,0,0,0,-434079650469995527144619383465343526875435038587/16,58509832513749215242763343108759246836786932442993054548380583713031083/32,compact_r17_wide_results_v1.json,3
new-20260906-102,26,07ca9,-575/1207,0,0,0,-749241894777782716523461159414719780282198565775236/3,31455737004066892036215911327785763247587127628182266708293487344812957104540/27,compact192_r17_results_v1.json,37
new-20260906-103,26,07ca9,3307/1128,0,0,0,-2273144934441043679369746085337712517680310839505041/48,105451270275964626521808209260761459816301840336406468995853936757309470639161/864,compact192_r17_results_v1.json,42
new-20260906-74,26,07ca9,613/828,0,0,0,-355065744144541973740043223849048396625076181121/48,202194929326344326419829452980962126599723345286114839585702433317887169/864,retention24_r17_results_v1.json,4
new-20260906-104,26,07ca9,760/211,0,0,0,-11539095669008917982927317442856444960725597836/3,2490484765956086981131344609950482705849159942358760844698084209841260/27,compact192_r17_results_v1.json,32
new-20260906-49,26,103b2,2773/962,0,0,0,-94534261085830451127168764987049051060019946761/48,28756262764797925758603749040918703516802181906737277560598943091825509/864,next24_r17_results_v1.json,18
new-20260906-105,26,103b2,726/761,0,0,0,-227442344285465336388694871660074217375826971761/48,101251320840371817485797790991124437802295166509120068073379166914688009/864,compact192_r17_results_v1.json,156
new-20260906-50,26,11952,-1173/127,0,0,0,-72897861399294723106288315023721735536780643900/3,39033329824050082142770186313681308823891545665947565148062763996989200/27,next24_r17_results_v1.json,20
new-20260906-75,26,11952,-1376/455,0,0,0,-26080466609802628636955806831614554746170903008161/48,133633946551881169156814665664598206800895433213058196583475547377277895409/864,retention24_r17_results_v1.json,21
new-20260906-106,26,11952,-1826/2583,0,0,0,-356101485511978332541537797226271187481089388776187/16,2242623419456613563967817421622362963426562595920190210139363301442507463915/32,compact192_r17_results_v1.json,169
new-20260906-189,26,11952,2618/26913,0,0,0,-266167256024797082112792781615695620247028780215189104475/16,831998794761601342117209702597743819238739412786876454733761046557464949135862734075/32,full11952_late64_r17_results_v1.json,2
new-20260906-99,26,11952,7460/32309,0,0,0,-3217551164406360744891596429442126806690611979972923403041/48,182809979136217910125074013314770907352117706478867488324728841926647824922454501655089/864,higher25_followup_results_v1.json,0
new-20260906-91,26,a1-fibration-01,-557/3572,0,0,0,-2617157944570912723994329786373654306614721015688944401/48,4406209674149682555183730327047109751097854840427092736849918384321855585070854649/864,extended20_mw16_union_results_v1.json,0
new-20260906-92,26,a1-fibration-02,3161/432,0,0,0,-1475317636715698792861211506086210959825282977227/16,349931738004320975783492208008692972531337504726039245946989571127657923/32,extended20_mw16_union_results_v1.json,4
new-20260905-38,25,074d9,-1525/1388,0,0,0,-309445502149730347377475086910980232377181627/16,1071548284863230298673779520728500993318435183512806717286135341323/32,compact_r17_wide_results_v1.json,14
new-20260906-107,25,074d9,-2336/731,0,0,0,-144767356555014187286480334602304851316150010801/48,55211530197513345967872569042036305018313468429275116451465495899075049/864,compact192_r17_results_v1.json,1
new-20260906-76,25,074d9,492/169,0,0,0,-6016027225895668359256284975732990146810547625/48,499485022392150243394911534274818252477446385570279311758999339160725/864,retention24_r17_results_v1.json,3
new-20260906-51,25,074d9,922/2063,0,0,0,-57415916785615489452268403877086850551505022981/3,26406523232243103321538763755227537008970296206750143631846203587649758/27,next24_r17_results_v1.json,3
new-20260906-108,25,07ca9,-1193/99,0,0,0,-222431674324536973733647883341160233951508609558836/3,6517996146673095252602087940343328983979307275179867101848430581204774448668/27,compact192_r17_results_v1.json,38
new-20260906-64,25,07ca9,-489/40,0,0,0,-11013529216276284864786921430144199645509716721/48,1135079404807333074251599719548496434732147859935627378147951926989769/864,discarded12_r17_results_v1.json,3
new-20260905-39,25,07ca9,-951/1696,0,0,0,-664554592892541802804824312334142842275401558057041/48,12780220916552963549905512025534476329882640821827984412624590449647281427161/864,compact_r17_wide_results_v1.json,9
new-20260906-65,25,07ca9,2059/3120,0,0,0,-160824411493235807667901491838601793816361635361/48,66805887356536034216281617959567013466868775296959292443488394310270641/864,discarded12_r17_results_v1.json,2
new-20260906-77,25,07ca9,21/1196,0,0,0,-809182527347967784397866729649122647595078321/48,25820124278590351410839964160233977142765533977156062978283325387881/864,retention24_r17_results_v1.json,6
new-20260906-109,25,07ca9,2393/1860,0,0,0,-6785580275227373505287825336429555022574758786802561/48,573112062462239077391054197232996716160114719449259297358159421716146873535809/864,compact192_r17_results_v1.json,44
new-20260906-110,25,07ca9,3/377,0,0,0,-1296216075648444951121523588992587507432196/3,3307997405479744757607772883651194754810380939534303539819038012/27,compact192_r17_results_v1.json,54
new-20260906-78,25,07ca9,3469/2070,0,0,0,-53226034104848140385167945759730988461521498586453041/48,12018387132541886655174507727770782422839746057876975641175547276514859774930089/864,retention24_r17_results_v1.json,5
new-20260905-01,25,07ca9,505/794,0,0,0,-16952902416795925705656229789436206106193248427/16,458406201216759011051366051323983779066110951921647401417011905917715/32,compact_atlas_new_curves_v1.json,2
new-20260906-79,25,08234,-2741/118,0,0,0,-333011318243299999332077923554679281026511001/48,6701349633300492370573614550638851143558001117104595404098424141501/864,retention24_r17_results_v1.json,11
new-20260906-80,25,08234,-2980/811,0,0,0,-927293273231634612823758900836679254886858686667/16,172031776249925120565443385602313818323530037743906059105623495615710787/32,retention24_r17_results_v1.json,9
new-20260906-81,25,08234,4051/121,0,0,0,-216947385341584355523666843636185182889794741/3,6287937307653758773522611893209446590430535235481215264422753989422/27,retention24_r17_results_v1.json,8
new-20260906-111,25,08234,774/149,0,0,0,-7668875312991349810856074374121345362948647589841/48,21260779618302018554911451794947294672468862561594913317577840744682510361/864,compact192_r17_results_v1.json,72
new-20260906-52,25,08f72,-164/2855,0,0,0,-11364571979322827495643882620240796361154890312636977025/48,40625047322638000814215926783676423739434685826594093343688749659741753084286242625/864,next24_r17_results_v1.json,14
new-20260906-112,25,08f72,-2129/1207,0,0,0,-453370380480421197376719225669736412224345344361/48,311521197522720693961251327589039504656082700395948680969514057316988085/864,compact192_r17_results_v1.json,99
new-20260906-113,25,08f72,-3292/1853,0,0,0,-6464374540662242844071937319841770542340606734364698721/48,16781382607714913421453891408933661282788907709331802636210882822437059663741694481/864,compact192_r17_results_v1.json,96
