path	role	area	claim_ids	sha256
CLEANUP_REPORT_2026-09-12.md	reference	core		f91496b54339d5088cea71508ab9ba1cbc0c66a78fd800a2767d8831d4dd946f
DISCOVERY_RETROSPECTIVE_AUDIT_2026-09-04.md	reference	core		3ac24be634c82712bc7851750cedbc2b25c2f1c994bd1a45397036df301eddaf
KNOWLEDGE_BASE.md	reference	core		38c6b7040066fb9c7c536f2efda9015d278a39ec87cfb499775878bc7d5eb00d
README.md	reference	core		32a8c45da3a1ed33942119de24f7657ecdb683e25d1aa2b8825d2abd1e0e5edd
REPRODUCE.md	reference	core		387c59bda88b0a8b6f870174a8f407d952cd8839ff3ebc28f4a5734df6512592
RESEARCH_TIMELINE.md	reference	core		626fdb0244de17eb6d30b53095f59e7fdffb23f60e965d2ff95903daeef16de0
RESEARCH_VALUE_REVIEW_2026-09-04.md	reference	core		dd5e4d45675b631457d2b24c25aaa8aaa1c5a34603a100359be03c4c8a98837c
archive/README.md	historical	core		341193e0d8c2dc43e60f1ae90902d953aa2572b4937cc12c61687c65b967d09d
archive/RESEARCH_VALUE_REVIEW_GVC_PROPOSAL_2026-09-04.md	historical	core		60e1cddbc9f01400fde00805253b95d43010541412fb9269b5e29ea6c5ca7cfa
archive/STREAMLINING_2026-09-03.md	historical	core		c9d9ecbe9f56c1d536c113ab6a4470641661a1bf2fef51cd6fafa36d97c3e657
archive/V3_DETACHED_HANDOFF_2026-09-07.md	historical	core		2436fea0622ebfd84d8339029424405890ee92f87d0a3041e8d644873707d561
archive/cancellation-components/BOUNDARY_EXHAUSTION_CERTIFICATE.md	historical	core		f5056bd8381e6356d2c1bd21fc7d014d091490080fcecd95838d6446de96957b
archive/cancellation-components/BOUNDARY_EXHAUSTION_INDEPENDENT_AUDIT.md	historical	core		3dfe27aefc77555e6a40e2d71e39a92d4959aa601a13bdd0fbdab03411a72474
archive/cancellation-components/BOUNDARY_INTERSECTION_OBSTRUCTION.md	historical	core		26389aae85988bea602b74a08558f2320d4aa3d460ae63f799d8cfc4d7ccee2e
archive/cancellation-components/BOUNDARY_INVARIANT_LADDER.md	historical	core		ac87cc4c53789857aa9ecb578b2efddc64dec3d85e51479280fe61bf66d6c6b1
archive/cancellation-components/CANONICAL_BOUNDARY_INTERSECTION_INVARIANT.md	historical	core		92e95c6457a4d2825598a3fc2aa15470a5f674528ef88112eae6afbad21bc708
